Sample	Signature	N_mut	N_mut_pct
PL19_NBS	Sig S1	0	0
PL20_NBS	Sig S1	0	0
PL22_LIG4	Sig S1	0	0
PL23_Bloom	Sig S1	0	0
PL19_NBS	Sig S2	759	17.436250861474846
PL20_NBS	Sig S2	1779	31.96765498652291
PL22_LIG4	Sig S2	0	0
PL23_Bloom	Sig S2	1990	26.132632961260672
PL19_NBS	Sig S3	0	0
PL20_NBS	Sig S3	0	0
PL22_LIG4	Sig S3	0	0
PL23_Bloom	Sig S3	0	0
PL19_NBS	Sig S4	0	0
PL20_NBS	Sig S4	0	0
PL22_LIG4	Sig S4	0	0
PL23_Bloom	Sig S4	0	0
PL19_NBS	Sig S5	0	0
PL20_NBS	Sig S5	0	0
PL22_LIG4	Sig S5	0	0
PL23_Bloom	Sig S5	0	0
PL19_NBS	Sig S6	1005	23.08752584424535
PL20_NBS	Sig S6	1774	31.877807726864333
PL22_LIG4	Sig S6	0	0
PL23_Bloom	Sig S6	0	0
PL19_NBS	Sig S7	0	0
PL20_NBS	Sig S7	0	0
PL22_LIG4	Sig S7	0	0
PL23_Bloom	Sig S7	0	0
PL19_NBS	Sig S8	515	11.830921203767517
PL20_NBS	Sig S8	0	0
PL22_LIG4	Sig S8	0	0
PL23_Bloom	Sig S8	0	0
PL19_NBS	Sig S9	0	0
PL20_NBS	Sig S9	0	0
PL22_LIG4	Sig S9	0	0
PL23_Bloom	Sig S9	0	0
PL19_NBS	Sig S10	1064	24.442912933609005
PL20_NBS	Sig S10	0	0
PL22_LIG4	Sig S10	0	0
PL23_Bloom	Sig S10	0	0
PL19_NBS	Sig S11	0	0
PL20_NBS	Sig S11	0	0
PL22_LIG4	Sig S11	0	0
PL23_Bloom	Sig S11	0	0
PL19_NBS	Sig S12	0	0
PL20_NBS	Sig S12	0	0
PL22_LIG4	Sig S12	1952	63.33549643088904
PL23_Bloom	Sig S12	1675	21.996060407091267
PL19_NBS	Sig S13	396	9.097174362508614
PL20_NBS	Sig S13	679	12.20125786163522
PL22_LIG4	Sig S13	0	0
PL23_Bloom	Sig S13	0	0
PL19_NBS	Sig S14	0	0
PL20_NBS	Sig S14	0	0
PL22_LIG4	Sig S14	0	0
PL23_Bloom	Sig S14	0	0
PL19_NBS	Sig S15	0	0
PL20_NBS	Sig S15	0	0
PL22_LIG4	Sig S15	532	17.2615184944841
PL23_Bloom	Sig S15	2881	37.83322390019698
PL19_NBS	Sig S16	0	0
PL20_NBS	Sig S16	0	0
PL22_LIG4	Sig S16	0	0
PL23_Bloom	Sig S16	0	0
PL19_NBS	Sig K1	0	0
PL20_NBS	Sig K1	0	0
PL22_LIG4	Sig K1	0	0
PL23_Bloom	Sig K1	0	0
PL19_NBS	Sig K2	0	0
PL20_NBS	Sig K2	0	0
PL22_LIG4	Sig K2	0	0
PL23_Bloom	Sig K2	0	0
PL19_NBS	Sig K_APOBEC	0	0
PL20_NBS	Sig K_APOBEC	0	0
PL22_LIG4	Sig K_APOBEC	0	0
PL23_Bloom	Sig K_APOBEC	0	0
PL19_NBS	Sig D1	11	0.25269928784746154
PL20_NBS	Sig D1	0	0
PL22_LIG4	Sig D1	0	0
PL23_Bloom	Sig D1	0	0
PL19_NBS	Sig D2	6	0.13783597518952445
PL20_NBS	Sig D2	0	0
PL22_LIG4	Sig D2	0	0
PL23_Bloom	Sig D2	0	0
PL19_NBS	Sig D3	0	0
PL20_NBS	Sig D3	0	0
PL22_LIG4	Sig D3	0	0
PL23_Bloom	Sig D3	0	0
PL19_NBS	Sig D4	0	0
PL20_NBS	Sig D4	18	0.3234501347708895
PL22_LIG4	Sig D4	10	0.32446463335496434
PL23_Bloom	Sig D4	38	0.49901510177281677
PL19_NBS	Sig ID1	125	2.8715828164484267
PL20_NBS	Sig ID1	0	0
PL22_LIG4	Sig ID1	119	3.8611291369240757
PL23_Bloom	Sig ID1	0	0
PL19_NBS	Sig ID2	472	10.843096714909258
PL20_NBS	Sig ID2	1315	23.62982929020665
PL22_LIG4	Sig ID2	182	5.905256327060351
PL23_Bloom	Sig ID2	246	3.2304661851608665
PL19_NBS	Sig ID3	0	0
PL20_NBS	Sig ID3	0	0
PL22_LIG4	Sig ID3	287	9.312134977287476
PL23_Bloom	Sig ID3	785	10.3086014445174
